round,time,accuracy
1,142.41658309594388,10.11
2,265.8780705404172,10.13
3,389.33955798489046,17.97
4,531.7561410808344,23.95
5,600.3147102209564,24.28
6,742.7312933169003,20.97
7,885.1478764128442,28.29
8,1008.6093638573175,29.3
9,1148.7178351567986,32.89
10,1272.179322601272,35.1
11,1395.6408100457452,35.52
12,1538.057393141689,38.52
13,1589.489132044674,38.26
14,1731.905715140618,40.61
15,1874.322298236562,41.0
16,1997.7837856810352,40.57
17,2121.2452731255084,42.78
18,2263.661856221452,43.57
19,2403.7703275209333,43.79
20,2546.186910616877,44.64
21,2686.295381916358,45.53
22,2828.711965012302,45.69
23,2952.173452456775,46.78
24,3094.5900355527187,47.72
25,3218.051522997192,47.07
26,3360.4681060931357,47.77
27,3483.929593537609,48.53
28,3571.7889460907813,48.18
29,3714.205529186725,48.62
30,3856.6221122826687,49.96
31,3999.0386953786124,50.46
32,4141.4552784745565,50.79
33,4283.8718615705,50.82
34,4426.288444666444,51.55
35,4568.7050277623875,52.27
36,4711.121610858331,52.56
37,4763.106933638775,52.95
38,4905.523516734719,53.53
39,5028.985004179192,54.06
40,5169.093475478674,54.11
41,5311.510058574618,54.26
42,5434.971546019091,54.96
43,5577.388129115035,55.54
44,5719.804712210978,56.21
45,5843.266199655452,55.3
46,5966.727687099925,56.41
47,6106.8361583994065,56.35
48,6249.25274149535,57.18
49,6391.669324591294,57.5
50,6534.0859076872375,57.98
