round,time,accuracy
1,12.018458220661548,10.06
2,24.036916441323097,10.73
3,36.055374661984644,17.93
4,48.073832882646194,20.7
5,60.092291103307744,23.86
6,72.11074932396929,25.75
7,84.12920754463083,27.23
8,96.14766576529237,27.83
9,108.16612398595392,29.57
10,120.18458220661546,32.03
11,132.20304042727702,34.75
12,144.22149864793857,35.24
13,156.23995686860013,35.35
14,168.2584150892617,38.53
15,180.27687330992325,39.35
16,192.2953315305848,39.95
17,204.31378975124636,41.87
18,216.33224797190792,42.16
19,228.35070619256948,42.46
20,240.36916441323103,43.2
21,252.3876226338926,44.01
22,264.40608085455415,44.87
23,276.4245390752157,44.9
24,288.44299729587726,45.2
25,300.4614555165388,46.03
26,312.4799137372004,46.65
27,324.49837195786193,46.9
28,336.5168301785235,47.35
29,348.53528839918505,47.28
30,360.5537466198466,47.66
31,372.57220484050816,48.4
32,384.5906630611697,48.46
33,396.6091212818313,48.06
34,408.62757950249284,48.81
35,420.6460377231544,49.67
36,432.66449594381595,48.57
37,444.6829541644775,50.01
38,456.70141238513907,50.17
39,468.7198706058006,50.18
40,480.7383288264622,50.04
41,492.75678704712374,49.76
42,504.7752452677853,50.53
43,516.7937034884468,50.42
44,528.8121617091083,50.42
45,540.8306199297698,50.34
46,552.8490781504313,50.49
47,564.8675363710928,50.35
48,576.8859945917543,51.24
49,588.9044528124158,50.29
50,600.9229110330773,51.28
51,612.9413692537388,51.12
52,624.9598274744003,50.73
53,636.9782856950618,51.09
54,648.9967439157233,51.02
55,661.0152021363848,50.21
56,673.0336603570463,50.88
57,685.0521185777078,51.29
58,697.0705767983693,50.85
59,709.0890350190308,50.68
60,721.1074932396923,50.76
61,733.1259514603538,50.92
62,745.1444096810153,51.33
63,757.1628679016768,51.32
64,769.1813261223383,50.73
65,781.1997843429998,51.81
66,793.2182425636613,51.12
67,805.2367007843228,50.67
68,817.2551590049843,51.18
69,829.2736172256458,50.91
70,841.2920754463073,51.27
71,853.3105336669688,50.75
72,865.3289918876303,51.09
73,877.3474501082918,50.47
74,889.3659083289533,51.36
75,901.3843665496148,51.05
76,913.4028247702763,50.42
77,925.4212829909378,50.71
78,937.4397412115993,50.58
79,949.4581994322608,51.73
80,961.4766576529223,50.68
