round,time,accuracy
1,140.10847129948124,10.0
2,280.2169425989625,15.89
3,403.67843004343575,14.17
4,455.6637528238796,13.68
5,598.0803359198235,19.43
6,738.1888072193047,18.5
7,761.1420408582574,22.51
8,849.00139341143,20.31
9,991.4179765073739,27.59
10,1133.8345596033178,27.04
11,1202.3931287434398,27.63
12,1238.0794790490745,33.58
13,1265.1294183651291,29.35
14,1287.5430733812848,36.22
15,1309.2379678224895,31.12
16,1449.3464391219707,34.1
17,1485.0327894276054,35.86
18,1625.1412607270865,38.18
19,1767.5578438230305,40.19
20,1788.376581325961,37.09
21,1839.808320228946,36.2
22,1908.366889369068,40.44
23,1931.464906111054,38.34
24,1959.2883236703085,38.77
25,2011.2736464507523,41.73
26,2153.690229546696,37.92
27,2241.5495820998685,43.36
28,2264.515858826342,43.73
29,2387.9773462708154,40.62
30,2409.3222360195396,46.65
31,2446.101277823539,46.5
32,2533.9606303767114,41.9
33,2585.392369279696,45.18
34,2725.5008405791773,48.4
35,2867.917423675121,48.95
36,2889.6123181163257,44.13
37,3032.0289012122694,49.11
38,3083.460640115254,49.78
39,3119.146990420889,48.4
40,3161.755846123093,50.54
41,3230.314415263215,47.9
42,3253.2676489021674,49.84
43,3289.898114861099,52.2
44,3325.584465166734,52.79
45,3362.3635069707334,46.36
46,3430.9220761108554,48.32
47,3473.5309318130594,52.92
48,3500.5808711291143,54.17
49,3523.6788878711,51.38
50,3560.309353830032,50.63
51,3583.16235613302,50.12
52,3619.7928220919516,53.36
53,3743.254309536425,52.46
54,3831.1136620895973,52.16
55,3867.8927038935967,55.96
56,3890.7457061965847,55.97
57,3942.17744509957,56.07
58,4065.638932544043,53.6
59,4208.055515639987,56.01
60,4226.793723976309,56.1
61,4278.779046756753,56.16
62,4311.1529902393595,54.77
63,4453.569573335303,52.55
64,4490.2000392942355,58.8
65,4532.808894996439,54.34
66,4569.439360955372,56.39
67,4591.177512400139,51.03
68,4731.28598369962,55.27
69,4799.844552839742,56.09
70,4835.530903145377,59.01
71,4975.639374444859,56.59
72,5027.0711133478435,58.55
73,5054.405911902895,56.32
74,5077.503928644881,58.57
75,5219.920511740825,58.12
76,5271.905834521269,58.22
77,5292.396489195849,60.01
78,5434.813072291793,57.57
79,5486.244811194778,58.09
80,5521.931161500413,57.14
