round,time,accuracy
1,12.018458220661548,10.03
2,24.036916441323097,10.0
3,35.932617648871926,12.33
4,47.82831885642075,19.83
5,59.8467770770823,20.32
6,71.68452891564966,22.98
7,83.52228075421702,25.31
8,95.36003259278438,22.08
9,107.37849081344592,29.94
10,119.39694903410746,25.04
11,131.2926502416563,29.96
12,143.18835144920513,33.93
13,155.2068096698667,30.84
14,167.22526789052824,32.22
15,179.0630197290956,35.62
16,190.95872093664443,35.93
17,202.85442214419325,39.14
18,214.8728803648548,38.48
19,226.89133858551637,41.76
20,238.90979680617792,39.69
21,250.92825502683948,39.49
22,262.946713247501,38.59
23,274.96517146816257,42.92
24,286.9836296888241,41.22
25,299.0020879094857,42.94
26,310.8977891170345,45.46
27,322.7355409556019,44.55
28,334.75399917626345,42.45
29,346.772457396925,44.4
30,358.6102092354924,44.85
